id,nom,description,prix,image_url,categorie,en_vedette,nombre_ventes,created_at
1,Nuit Mystérieuse,"Un accord oud et rose noire qui enveloppe comme un secret bien gardé. Notes de tête : bergamote sicilienne. Cœur : rose de Damas, oud. Fond : ambre, musc blanc.",285.00,https://images.unsplash.com/photo-1541643600914-78b084683702?w=800&q=80,femme,t,342,2026-05-03 00:11:51.880535+00
2,Éclat d'Or,"La quintessence de l'élégance masculine. Un fougère doré aux accords boisés et épicés qui incarne la force tranquille. Notes : cardamome, iris, santal.",320.00,https://images.unsplash.com/photo-1594913437540-fa87025c5695?w=800&q=80,homme,t,289,2026-05-03 00:11:51.880535+00
3,Velours Blanc,Pureté absolue. Un musc blanc légèrement vanillé qui se fond à la peau comme une seconde nature. Pour les âmes sensibles à la beauté simple.,195.00,https://images.unsplash.com/photo-1588405748880-12d1d2a59f75?w=800&q=80,unisexe,t,412,2026-05-03 00:11:51.880535+00
4,Ambre Impérial,"Un accord ambré oriental d'une richesse incomparable. Résine de benjoin, patchouli et vanille bourbon créent une sillage inoubliable.",350.00,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?w=800&q=80,femme,t,198,2026-05-03 00:11:51.880535+00
5,Forêt Sacrée,"L'essence de la nature dans toute sa majesté. Cèdre de l'Atlas, vétiver et pin sylvestre pour un homme qui sait qui il est.",265.00,https://images.unsplash.com/photo-1587017539504-67cfbddac569?w=800&q=80,homme,f,167,2026-05-03 00:11:51.880535+00
6,Rose Noire,"La rose réinventée — sombre, envoûtante, indéfinissable. Un contraste saisissant entre la fraîcheur florale et la chaleur de l'encens.",310.00,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=800&q=80,femme,f,223,2026-05-03 00:11:51.880535+00
7,Sel Marin,"L'air iodé des falaises bretonnes. Fraîcheur marine, iris et cèdre blanc pour une sensation de liberté absolue.",175.00,https://images.unsplash.com/photo-1547887537-6158d64c35b3?w=800&q=80,unisexe,f,301,2026-05-03 00:11:51.880535+00
8,Cuir Précieux,"Le cuir sublimé. Tabac blond, cuir tanné et ambrette composent un portrait d'homme intemporel et raffiné.",395.00,https://images.unsplash.com/photo-1523293182086-7651a899d37f?w=800&q=80,homme,t,145,2026-05-03 00:11:51.880535+00
9,Jasmin de Nuit,"Le jasmin grandiflorum cueilli à l'aube, magnifié par le sillage de la civette et de la vanille. Sensualité pure.",275.00,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=800&q=80,femme,f,189,2026-05-03 00:11:51.880535+00
10,Oud Royale,"Le précieux oud de Laos, vieilli et travaillé à l'ancienne. Une œuvre d'art olfactive pour les connaisseurs.",450.00,https://images.unsplash.com/photo-1590156562745-5f27bddcba47?w=800&q=80,unisexe,t,98,2026-05-03 00:11:51.880535+00
